,,len,mean,std,se,conf_delta
snp_place_out_deg_mean,astar,174770.00,1.89,0.14,0.00,0.00
snp_place_out_deg_mean,inc3,39630.00,1.91,0.12,0.00,0.00
snp_place_out_deg_mean,recomp-astar,17013.00,1.93,0.20,0.00,0.00
snp_place_out_deg_mean,recomp-inc3,19940.00,1.96,0.14,0.00,0.00
