model,log,decomposition,SP label,trace_length,n_activity,activity_repeat_mean,activity_repeat_std,snp_n_transition,snp_n_inv_transition,snp_n_dup_transition,snp_n_uniq_transition,snp_inv_transition_in_degree_mean,snp_inv_transition_in_degree_std,snp_inv_transition_out_degree_mean,snp_inv_transition_out_degree_std,snp_uniq_transition_in_degree_mean,snp_uniq_transition_in_degree_std,snp_uniq_transition_out_degree_mean,snp_uniq_transition_out_degree_std,snp_dup_transition_in_degree_mean,snp_dup_transition_in_degree_std,snp_dup_transition_out_degree_mean,snp_dup_transition_out_degree_std,snp_place_in_deg_mean,snp_place_in_deg_std,snp_place_out_deg_mean,snp_place_out_deg_std,snp_n_place,snp_n_arc,snp_n_and_split,snp_n_xor_split,snp_n_biconnected,n_transition,n_inv_transition,n_dup_transition,n_uniq_transition,inv_transition_in_degree_mean,inv_transition_in_degree_std,inv_transition_out_degree_mean,inv_transition_out_degree_std,uniq_transition_in_degree_mean,uniq_transition_in_degree_std,uniq_transition_out_degree_mean,uniq_transition_out_degree_std,dup_transition_in_degree_mean,dup_transition_in_degree_std,dup_transition_out_degree_mean,dup_transition_out_degree_std,place_in_deg_mean,place_in_deg_std,place_out_deg_mean,place_out_deg_std,n_place,n_arc,n_and_split,n_xor_split,n_biconnected,n_subnet,subnet_n_transition_mean,subnet_n_transition_std,subnet_n_inv_transition_mean,subnet_n_inv_transition_std,subnet_n_dup_transition_mean,subnet_n_dup_transition_std,subnet_n_uniq_transition_mean,subnet_n_uniq_transition_std,subnet_n_place_mean,subnet_n_place_std,subnet_n_arc_mean,subnet_n_arc_std
net2,net2-10-60-l5000,generic_50,2819,114.0,58.0,1.9655172413793105,1.7468318916233057,471.0,25.0,160.0,286.0,1.44,0.5830951894845301,1.32,0.5567764362830021,1.1258741258741258,0.3426856339989075,1.1363636363636365,0.3538352187692278,1.5,0.5015698625755192,1.54375,0.581116632768761,2.1530249110320283,1.5381110038262875,2.1281138790035588,1.6980954671503854,281.0,1203.0,125.0,191.0,1.0,243.0,25.0,0.0,218.0,1.44,0.5830951894845301,1.32,0.5567764362830022,1.0045871559633028,0.06772854614785963,1.018348623853211,0.1345174941869537,0.0,0.0,0.0,0.0,1.5361445783132532,1.076704096910456,1.5361445783132532,1.189048849647993,166.0,510.0,11.0,51.0,16.0,56.0,8.839285714285714,37.39127962784628,2.7857142857142856,4.5992658928623324,0.0,0.0,6.053571428571429,12.95224746079669,6.535714285714287,12.278531575979994,18.464285714285715,37.39127962784628
net2,net2-10-60-l5000,generic_50,3117,92.0,72.0,1.2777777777777777,0.6548243979688554,427.0,25.0,66.0,336.0,1.44,0.5830951894845301,1.32,0.5567764362830021,1.1785714285714286,0.38356425169876907,1.1904761904761905,0.4007810427247449,1.5,0.5038314736557788,1.5,0.5038314736557788,2.054054054054054,1.3107238713147311,2.0501930501930503,1.4552064910449718,259.0,1063.0,103.0,179.0,1.0,243.0,25.0,0.0,218.0,1.44,0.5830951894845301,1.32,0.5567764362830022,1.0045871559633028,0.06772854614785963,1.018348623853211,0.1345174941869537,0.0,0.0,0.0,0.0,1.5361445783132532,1.076704096910456,1.5361445783132532,1.189048849647993,166.0,510.0,11.0,51.0,16.0,56.0,8.839285714285714,37.39127962784628,2.7857142857142856,4.5992658928623324,0.0,0.0,6.053571428571429,12.95224746079669,6.535714285714287,12.278531575979994,18.464285714285715,37.39127962784628
net2,net2-60-60-l5000,generic_50,193,199.0,71.0,2.8028169014084505,2.8914638818912635,641.0,25.0,326.0,290.0,1.44,0.5830951894845301,1.32,0.5567764362830022,1.1275862068965516,0.3342051995107589,1.1448275862068966,0.3716476052512153,1.5,0.5007686399618398,1.5368098159509205,0.5685562882859572,2.3661202185792347,2.163799227709601,2.3278688524590163,2.0770472572333536,366.0,1718.0,210.0,285.0,1.0,243.0,25.0,0.0,218.0,1.44,0.5830951894845301,1.32,0.5567764362830022,1.0045871559633028,0.06772854614785963,1.018348623853211,0.1345174941869537,0.0,0.0,0.0,0.0,1.5361445783132532,1.076704096910456,1.5361445783132532,1.189048849647993,166.0,510.0,11.0,51.0,16.0,56.0,8.839285714285714,37.39127962784628,2.7857142857142856,4.5992658928623324,0.0,0.0,6.053571428571429,12.95224746079669,6.535714285714287,12.278531575979994,18.464285714285715,37.39127962784628
net2,net2-60-60-l5000,generic_50,2211,198.0,83.0,2.3855421686746987,2.3779029770623668,639.0,25.0,300.0,314.0,1.44,0.5830951894845301,1.32,0.5567764362830022,1.1592356687898089,0.3750962243339903,1.1687898089171975,0.3835854896669456,1.5,0.5008354224706334,1.5266666666666666,0.5510302502384192,2.350684931506849,2.006248705978237,2.3287671232876708,2.016789381642308,365.0,1708.0,209.0,294.0,1.0,243.0,25.0,0.0,218.0,1.44,0.5830951894845301,1.32,0.5567764362830022,1.0045871559633028,0.06772854614785963,1.018348623853211,0.1345174941869537,0.0,0.0,0.0,0.0,1.5361445783132532,1.076704096910456,1.5361445783132532,1.189048849647993,166.0,510.0,11.0,51.0,16.0,56.0,8.839285714285714,37.39127962784628,2.7857142857142856,4.5992658928623324,0.0,0.0,6.053571428571429,12.95224746079669,6.535714285714287,12.278531575979994,18.464285714285715,37.39127962784628
net2,net2-60-60-l5000,generic_50,234,96.0,60.0,1.6,0.9602259621074014,435.0,25.0,118.0,292.0,1.44,0.5830951894845301,1.32,0.5567764362830022,1.1301369863013702,0.33703168868392885,1.1404109589041096,0.3480093151818969,1.5,0.5021322058350292,1.5423728813559323,0.5794791029116452,2.0836501901140685,1.3310153614564972,2.0646387832699618,1.397791525103233,263.0,1091.0,107.0,178.0,1.0,243.0,25.0,0.0,218.0,1.44,0.5830951894845301,1.32,0.5567764362830022,1.0045871559633028,0.06772854614785963,1.018348623853211,0.1345174941869537,0.0,0.0,0.0,0.0,1.5361445783132532,1.076704096910456,1.5361445783132532,1.189048849647993,166.0,510.0,11.0,51.0,16.0,56.0,8.839285714285714,37.39127962784628,2.7857142857142856,4.5992658928623324,0.0,0.0,6.053571428571429,12.95224746079669,6.535714285714287,12.278531575979994,18.464285714285715,37.39127962784628
net2,net2-60-60-l5000,generic_50,2744,103.0,77.0,1.3376623376623376,0.6611471213450788,449.0,25.0,92.0,332.0,1.44,0.5830951894845301,1.32,0.5567764362830022,1.1777108433734942,0.3906577466891309,1.186746987951807,0.39796190266503306,1.5,0.5027397465361703,1.5217391304347827,0.5442660320255324,2.1,1.3960911975835462,2.092592592592593,1.4793311876554909,270.0,1132.0,114.0,197.0,2.0,243.0,25.0,0.0,218.0,1.44,0.5830951894845301,1.32,0.5567764362830022,1.0045871559633028,0.06772854614785963,1.018348623853211,0.1345174941869537,0.0,0.0,0.0,0.0,1.5361445783132532,1.076704096910456,1.5361445783132532,1.189048849647993,166.0,510.0,11.0,51.0,16.0,56.0,8.839285714285714,37.39127962784628,2.7857142857142856,4.5992658928623324,0.0,0.0,6.053571428571429,12.95224746079669,6.535714285714287,12.278531575979994,18.464285714285715,37.39127962784628
net2,net2-60-60-l5000,generic_50,2819,114.0,58.0,1.9655172413793105,1.7468318916233057,471.0,25.0,160.0,286.0,1.44,0.58309518948453,1.32,0.5567764362830022,1.1258741258741258,0.3426856339989076,1.1363636363636365,0.3538352187692278,1.5,0.5015698625755192,1.54375,0.581116632768761,2.1530249110320283,1.5381110038262875,2.1281138790035588,1.6980954671503854,281.0,1203.0,125.0,191.0,1.0,243.0,25.0,0.0,218.0,1.44,0.5830951894845301,1.32,0.5567764362830022,1.0045871559633028,0.06772854614785963,1.018348623853211,0.1345174941869537,0.0,0.0,0.0,0.0,1.5361445783132532,1.076704096910456,1.5361445783132532,1.189048849647993,166.0,510.0,11.0,51.0,16.0,56.0,8.839285714285714,37.39127962784628,2.7857142857142856,4.5992658928623324,0.0,0.0,6.053571428571429,12.95224746079669,6.535714285714287,12.278531575979994,18.464285714285715,37.39127962784628
net2,net2-60-60-l5000,generic_50,3239,191.0,92.0,2.0760869565217392,1.5423237474039038,625.0,25.0,284.0,316.0,1.44,0.5830951894845301,1.32,0.5567764362830022,1.1582278481012658,0.3655333463386252,1.1677215189873418,0.3742113802689126,1.5070422535211268,0.5147503271183049,1.5316901408450705,0.5598926851124089,2.3379888268156424,1.636508676950646,2.3184357541899443,1.7081927514929545,358.0,1667.0,202.0,285.0,1.0,243.0,25.0,0.0,218.0,1.44,0.5830951894845301,1.32,0.5567764362830022,1.0045871559633028,0.06772854614785963,1.018348623853211,0.1345174941869537,0.0,0.0,0.0,0.0,1.5361445783132532,1.076704096910456,1.5361445783132532,1.189048849647993,166.0,510.0,11.0,51.0,16.0,56.0,8.839285714285714,37.39127962784628,2.7857142857142856,4.5992658928623324,0.0,0.0,6.053571428571429,12.95224746079669,6.535714285714287,12.278531575979994,18.464285714285715,37.39127962784628
net2,net2-60-60-l5000,generic_50,3426,107.0,71.0,1.5070422535211268,1.0402367784942006,457.0,25.0,118.0,314.0,1.44,0.5830951894845301,1.32,0.5567764362830022,1.1560509554140128,0.3634828998474514,1.1656050955414012,0.3723191073174099,1.5,0.5021322058350292,1.5169491525423728,0.5348224539241953,2.1094890510948905,1.2647884597295431,2.102189781021898,1.4208529220585415,274.0,1154.0,118.0,196.0,1.0,243.0,25.0,0.0,218.0,1.44,0.5830951894845301,1.32,0.5567764362830022,1.0045871559633028,0.06772854614785963,1.018348623853211,0.1345174941869537,0.0,0.0,0.0,0.0,1.5361445783132532,1.076704096910456,1.5361445783132532,1.189048849647993,166.0,510.0,11.0,51.0,16.0,56.0,8.839285714285714,37.39127962784628,2.7857142857142856,4.5992658928623324,0.0,0.0,6.053571428571429,12.95224746079669,6.535714285714287,12.278531575979994,18.464285714285715,37.39127962784628
net2,net2-60-60-l5000,generic_50,3482,102.0,72.0,1.4166666666666667,0.9893802299604636,447.0,25.0,100.0,322.0,1.44,0.58309518948453,1.32,0.5567764362830022,1.1677018633540373,0.3824177038863895,1.1770186335403727,0.3903426798998516,1.5,0.502518907629606,1.5,0.502518907629606,2.0892193308550184,1.376588276793039,2.0892193308550184,1.4935917043577926,269.0,1124.0,113.0,189.0,2.0,243.0,25.0,0.0,218.0,1.44,0.5830951894845301,1.32,0.5567764362830022,1.0045871559633028,0.06772854614785963,1.018348623853211,0.1345174941869537,0.0,0.0,0.0,0.0,1.5361445783132532,1.076704096910456,1.5361445783132532,1.189048849647993,166.0,510.0,11.0,51.0,16.0,56.0,8.839285714285714,37.39127962784628,2.7857142857142856,4.5992658928623324,0.0,0.0,6.053571428571429,12.95224746079669,6.535714285714287,12.278531575979994,18.464285714285715,37.39127962784628
